timeBin,Bin Start Time,Bin End Time,"Total, GB/sec:Self"
0,0.000,35.402,0.304
1,35.402,70.804,0.306
2,70.804,106.207,0.304
3,106.207,141.609,0.317
4,141.609,177.011,0.300
5,177.011,212.413,0.315
6,212.413,247.815,0.299
7,247.815,283.218,0.312
8,283.218,318.620,0.309
9,318.620,354.022,0.306
10,354.022,389.424,0.325
11,389.424,424.826,0.309
12,424.826,460.228,0.314
13,460.228,495.631,0.299
14,495.631,531.033,0.317
15,531.033,566.435,0.304
16,566.435,601.837,0.313
17,601.837,637.239,0.304
18,637.239,672.642,0.316
19,672.642,708.044,0.308
20,708.044,743.446,0.307
21,743.446,778.848,0.303
22,778.848,814.250,0.304
23,814.250,849.653,0.315
24,849.653,885.055,0.295
25,885.055,920.457,0.315
26,920.457,955.859,0.306
27,955.859,991.261,0.326
28,991.261,1026.664,0.304
29,1026.664,1062.066,0.317
