r:w,bandwidth(GB/s),latency(ns)
1:0,34.24775390625,95.31
1:0,34.3369140625,98.67
1:0,34.3626953125,93.47
1:0,34.27509765625,93.42
1:0,34.36044921875,93.20
1:0,34.37548828125,89.09
1:0,34.190625,95.02
1:0,34.1544921875,92.94
1:0,30.55048828125,93.49
1:0,25.25908203125,86.97
1:0,18.61533203125,83.43
1:0,13.40830078125,85.69
1:0,10.616015625,78.64
1:0,8.31337890625,80.02
1:0,5.87197265625,85.32
1:0,4.4677734375,81.99
1:0,3.41513671875,76.66
1:0,2.32763671875,70.86
1:0,1.50693359375,73.21
4:1,41.5974609375,184.58
4:1,42.16845703125,175.91
4:1,42.25419921875,152.82
4:1,42.2126953125,181.25
4:1,42.18798828125,168.27
4:1,42.2552734375,162.96
4:1,38.2525390625,135.96
4:1,26.66357421875,94.52
4:1,20.37392578125,98.51
4:1,16.627734375,86.30
4:1,12.16826171875,87.21
4:1,8.805859375,84.45
4:1,6.9791015625,83.05
4:1,5.6060546875,75.24
4:1,4.09794921875,74.22
4:1,3.12373046875,78.72
4:1,2.428125,78.63
4:1,1.7251953125,76.51
4:1,1.2880859375,71.09
