bandwidth(GB/s),latency(ns),channel
33.69287109375,101.60,3
34.31435546875,108.73,3
34.2861328125,109.11,3
34.3296875,106.57,3
34.2826171875,109.89,3
34.18046875,118.71,3
33.9771484375,105.35,3
33.87119140625,105.93,3
30.31201171875,114.88,3
25.05439453125,111.55,3
18.42294921875,111.64,3
13.3748046875,89.95,3
10.5369140625,87.82,3
8.3251953125,81.41,3
5.95087890625,80.28,3
4.50625,78.43,3
3.41845703125,76.44,3
2.26103515625,76.72,3
1.4943359375,74.32,3
34.24775390625,95.31,5
34.3369140625,98.67,5
34.3626953125,93.47,5
34.27509765625,93.42,5
34.36044921875,93.20,5
34.37548828125,89.09,5
34.190625,95.02,5
34.1544921875,92.94,5
30.55048828125,93.49,5
25.25908203125,86.97,5
18.61533203125,83.43,5
13.40830078125,85.69,5
10.616015625,78.64,5
8.31337890625,80.02,5
5.87197265625,85.32,5
4.4677734375,81.99,5
3.41513671875,76.66,5
2.32763671875,70.86,5
1.50693359375,73.21,5
33.2765625,181.11,2
34.01064453125,163.07,2
34.03427734375,175.58,2
34.007421875,166.10,2
33.85546875,166.67,2
33.93212890625,158.32,2
33.76708984375,149.84,2
33.6560546875,121.53,2
30.243359375,114.30,2
23.07900390625,109.25,2
15.15322265625,100.38,2
12.66435546875,91.80,2
10.5705078125,83.65,2
8.33525390625,80.00,2
5.931640625,82.06,2
4.55703125,73.59,2
3.3974609375,78.37,2
2.2962890625,73.51,2
1.51787109375,72.28,2
19.17392578125,1039.58,1
19.48388671875,1018.78,1
19.46494140625,1003.00,1
19.4548828125,1015.95,1
19.45048828125,995.49,1
19.4744140625,910.21,1
19.47138671875,894.02,1
19.46962890625,823.12,1
19.4970703125,765.99,1
19.52900390625,700.23,1
18.1560546875,176.51,1
13.296875,100.24,1
10.52900390625,88.27,1
8.34033203125,79.37,1
6.1138671875,66.24,1
4.58193359375,71.44,1
3.5240234375,67.64,1
2.417578125,64.33,1
1.6361328125,63.58,1
34.2390625,90.94,4
34.33916015625,103.72,4
34.33466796875,91.03,4
34.38984375,93.90,4
34.358203125,95.54,4
34.3103515625,97.64,4
34.297265625,84.70,4
34.17958984375,92.55,4
30.541796875,96.58,4
25.2685546875,84.77,4
18.5876953125,87.44,4
13.49384765625,76.95,4
10.589453125,80.60,4
8.0751953125,87.07,4
5.88603515625,84.06,4
4.48408203125,80.20,4
3.45498046875,73.13,4
2.281640625,74.79,4
1.530859375,71.21,4
